0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,2
75,38
76,0
77,389
78,1245
79,0
80,1518
81,0
82,3628
83,3146
84,2041
85,0
86,1601
87,2415
88,0
89,1684
90,0
91,1506
92,0
93,1813
94,1660
95,1390
96,0
97,1572
98,2662
99,1761
100,0
101,1387
102,1218
103,1287
104,0
105,1308
106,1288
107,1068
108,732
109,639
110,559
111,0
112,575
113,504
114,502
115,0
116,518
117,476
118,0
119,490
120,599
121,1263
122,686
123,708
124,0
125,724
126,804
127,957
128,2770
129,0
130,1200
131,973
132,1004
133,2434
134,1087
135,0
136,892
137,1737
138,995
139,813
140,0
141,0
142,1459
143,723
144,576
145,512
146,448
147,431
148,377
149,600
150,296
151,266
152,0
153,354
154,154
155,121
156,113
157,113
158,91
159,163
160,58
161,53
162,50
163,51
164,67
165,0
166,20
167,21
168,0
169,36
170,10
171,12
172,24
173,0
174,13
175,30
176,6
177,13
178,11
179,11
180,9
181,9
182,9
183,0
184,19
185,13
186,16
187,6
188,0
189,18
190,6
191,0
192,5
193,7
194,6
195,6
196,8
197,11
198,0
199,9
200,9
201,3
202,8
203,0
204,9
205,7
206,9
207,7
208,4
209,5
210,17
211,4
212,6
213,4
214,11
215,7
216,0
217,0
218,2
219,6
220,2
221,8
222,0
223,2
224,2
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
